"","X","QUD","context","item","number","quantifier","response","slide_number","trial_type","language","enjoyment","age","gender","education","comments","describe","school","classes","college","lived","years","family","level","Browser","OS","screenH","screenW","time_in_minutes","participant_id","assess"
"46",0,"none","with","ranas","four","every",1,3,"one_slider","Español",2,"19","Male",2,"Experimento muy interesante sobre lógica","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.66688333333333,46,"Yes"
"48",0,"many","without","dinosaurios","two","every",0,3,"one_slider","Español",1,"20","Male",3,"","SpanEng","none","no","nocollege","both8","mostlive","span","native","Chrome","Mac",800,1280,2.37848333333333,48,"Yes"
"50",0,"all","without","mariposas","four","every",0.1,3,"one_slider","español",1,"25","Male",4,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.98381666666667,50,"Yes"
"57",0,"many","with","mariposas","two","every",0.93,3,"one_slider","Español",2,"22","Male",2,"Me parece que se puede prestar a equivocaciones, bastante interesante el HIT","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",360,640,2.45713333333333,57,"Yes"
"58",0,"all","without","mariposas","two","every",1,3,"one_slider","Español",1,"21","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.14425,58,"Yes"
"59",0,"none","without","leones","two","every",0.75,3,"one_slider","español",2,"40","Male",3,"La frase del elefante es una estructura que no se utiliza en español por ser sintácticamente ambigua.","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Linux",1080,1920,5.25595,59,"Yes"
"61",0,"many","without","ranas","two","every",0.88,3,"one_slider","Español",2,"34","Female",4,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",771,360,5.41256666666667,61,"Yes"
"63",0,"none","with","leones","four","every",0.98,3,"one_slider","Español ",2,"41","Female",3,"He leído el texto dos veces.","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Linux",892,412,2.35745,63,"Yes"
"65",0,"none","with","ranas","two","every",0,3,"one_slider","Español",1,"21","Male",1,"","SpanSpan","small","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.4784,65,"Yes"
"68",0,"none","without","dinosaurios","four","every",1,3,"one_slider","Español",2,"32","Female",4,"La afirmación del elefante no queda del todo clara","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.71188333333333,68,"Yes"
"72",0,"all","without","dinosaurios","two","every",1,3,"one_slider","Español",1,"30","Female",3,"parecía ser bastante pueril por la dinámica y los ""protagonistas"", pero tenía un nivel de lógica y abstracción más elevado","SpanSpan","most","yes","midsem","both8","mostlive","span","advanced","Chrome","Windows",720,1280,4.44678333333333,72,"Yes"
"73",0,"none","without","leones","four","every",0.02,3,"one_slider","español",2,"35","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",1050,1680,4.2444,73,"Yes"
"76",0,"none","with","mariposas","four","every",0,3,"one_slider","Español",2,"20","Male",1,"Fue muy claro y rapido","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.15105,76,"No"
"78",0,"many","without","dinosaurios","four","every",0.04,3,"one_slider","Español ",2,"24","Female",4,"","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Safari","iPhone/iPod",736,414,3.85623333333333,78,"Yes"
"79",0,"all","without","ranas","four","every",0,3,"one_slider","español",1,"29","Male",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,4.59181666666667,79,"Yes"
"80",0,"none","with","ranas","four","every",0.98,3,"one_slider","Español",2,"31","Female",4,"","SpanSpan","most","yes","midsem","both8","mostlive","span","native","Chrome","Windows",768,1366,3.1024,80,"Yes"
"81",0,"none","without","dinosaurios","four","every",0,3,"one_slider","Español",1,"22","Male",4,"No demasiado, un poco corto e infantil. No se que querrian valorar pero está bien XD","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.81685,81,"Yes"
"84",0,"all","with","mariposas","four","every",0.97,3,"one_slider","Español",2,"26","Male",1,"Tengan buen día🙂","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",851,393,3.94015,84,"Yes"
"85",0,"all","without","mariposas","four","every",0.91,3,"one_slider","Castellano",1,"21","Female",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,2.79485,85,"Yes"
"86",0,"many","without","mariposas","two","every",0.64,3,"one_slider","español",1,"22","Male",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.19608333333333,86,"Yes"
"88",0,"many","with","dinosaurios","four","every",1,3,"one_slider","español",2,"36","Female",4,"Muy bueno. Entretenido","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,5.49336666666667,88,"Yes"
"89",0,"all","without","mariposas","four","every",0.84,3,"one_slider","Español",1,"29","Male",3,"Raro.","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Linux",757,360,4.85495,89,"Yes"
"94",0,"all","without","leones","two","every",0.22,3,"one_slider","Español",1,"21","Female",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,2.4249,94,"Yes"
"99",0,"many","without","dinosaurios","two","every",0,3,"one_slider","Español",1,"21","Male",2,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1360,4.26268333333333,99,"Yes"
"100",0,"many","with","ranas","four","every",0,3,"one_slider","español",1,"33","Male",3,"el texto que se refiere a lo que dijo el elefante al final esta algo mal redactado.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",900,1600,8.38981666666667,100,"Yes"
"101",0,"none","with","dinosaurios","two","every",0.24,3,"one_slider","Spanish",1,"48","Female",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",768,1366,6.13645,101,"Yes"
"102",0,"all","with","leones","four","every",1,3,"one_slider","Español",1,"28","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.608,102,"Yes"
"103",0,"none","with","mariposas","two","every",0,3,"one_slider","Español",2,"44","Male",3,"Estaba Bien. De Pensar Algo Que Aparentemente Era Algo Muy Sencillo.","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Windows",768,1366,5.30735,103,"Yes"
"104",0,"many","without","mariposas","two","every",0.55,3,"one_slider","Español",1,"42","Female",4,"","SpanSpan","","noclasses","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",640,360,4.13293333333333,104,"Yes"
"107",0,"none","with","leones","four","every",0.72,3,"one_slider","Español",2,"21","Male",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",800,1280,3.25898333333333,107,"Yes"
"109",0,"all","with","leones","two","every",0.01,3,"one_slider","Español",0,"26","Male",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",1080,1920,9.81596666666667,109,"Yes"
"117",0,"none","without","ranas","two","every",0.29,3,"one_slider","Español",1,"38","Male",2,"nada que comentar, todo se ve bien","SpanSpan","most","yes","onesem","both8","mostlive","spaneng","native","Chrome","Windows",768,1366,4.77451666666667,117,"Yes"
"119",0,"many","without","dinosaurios","two","every",0,3,"one_slider","Español",2,"21","Female",2,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.57298333333333,119,"Yes"
"123",0,"none","with","mariposas","four","every",0.54,3,"one_slider","Español",1,"25","Female",3,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.08561666666667,123,"Yes"
"128",0,"many","with","leones","two","every",0.92,3,"one_slider","Español",1,"27","Male",2,"Este estudio me parecio interesante.","SpanEng","most","yes","onesem","both8","mostlive","spaneng","native","Chrome","Windows",900,1600,4.16435,128,"Yes"
"134",0,"many","without","dinosaurios","two","every",0.94,3,"one_slider","Español",2,"28","Female",4,"","SpanEng","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,2.5286,134,"Yes"
"137",0,"none","without","ranas","two","every",0.44,3,"one_slider","Español",2,"34","Female",4,"","SpanSpan","","","","both8","mostlive","span","native","Safari","Mac",1024,768,2.64978333333333,137,"Yes"
"140",0,"many","without","dinosaurios","four","every",0.39,3,"one_slider","Español",2,"19","Female",3,"Instrucciones claras y ejercicio sencillo de comprensión, interactivo y fácil.","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",720,360,3.18491666666667,140,"Yes"
"144",0,"all","without","leones","four","every",0.99,3,"one_slider","Español",2,"42","Male",3,"Me ha parecido fácil de responder","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,7.03143333333333,144,"Yes"
"146",0,"many","without","mariposas","two","every",0.94,3,"one_slider","Español",1,"26","Male",3,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.36955,146,"Yes"
"148",0,"all","without","mariposas","two","every",1,3,"one_slider","España",1,"22","Male",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,1.89813333333333,148,"Yes"
"151",0,"all","with","ranas","four","every",1,3,"one_slider","Español",0,"25","Male",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.04658333333333,151,"Yes"
"152",0,"all","with","dinosaurios","four","every",0.92,3,"one_slider","Español ",2,"27","Male",3,"Todo excelente ","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,2.39625,152,"Yes"
"156",0,"all","with","dinosaurios","two","every",0,3,"one_slider","Español",2,"23","Female",1,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",570,320,3.93441666666667,156,"Yes"
"159",0,"all","without","ranas","four","every",1,3,"one_slider","Español",1,"30","Male",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.00048333333333,159,"Yes"
"160",0,"many","with","leones","four","every",0,3,"one_slider","Español",1,"26","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",640,320,3.10445,160,"Yes"
"161",0,"all","without","ranas","four","every",1,3,"one_slider","Español",2,"23","Male",1,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,5.1794,161,"Yes"
"163",0,"all","without","dinosaurios","four","every",0.84,3,"one_slider","español",1,"27","Female",3,"","SpanSpan","mid","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,2.42535,163,"Yes"
"167",0,"none","without","ranas","two","every",0.81,3,"one_slider","Español",1,"19","Female",1,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Firefox","Windows",864,1536,3.78111666666667,167,"Yes"
"171",0,"none","with","leones","two","every",1,3,"one_slider","Espàñol",1,"30","Male",4,"Es ambiguo, y hay algunas faltas de ortografía","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,3.87618333333333,171,"Yes"
"172",0,"all","with","dinosaurios","two","every",0.87,3,"one_slider","Español",1,"21","Male",0,"","SpanSpan","none","no","nocollege","both8","mostlive","span","int","Chrome","Windows",864,1536,1.01125,172,"Yes"
"175",0,"all","without","ranas","four","every",0.98,3,"one_slider","espanol",2,"64","Male",3,"Este experimento es bueno para evaluar el nivel de conocimineto de una persona sobre el idioma espanol","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1440,3.56011666666667,175,"Yes"
"179",0,"many","with","dinosaurios","two","every",0,3,"one_slider","Español",1,"22","Male",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,2.5824,179,"Yes"
"193",0,"many","without","mariposas","four","every",0.5,3,"one_slider","Español",0,"29","Female",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,3.82133333333333,193,"Yes"
"194",0,"many","without","mariposas","two","every",0,3,"one_slider","Español",2,"29","Male",3,"","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Windows",768,1366,2.77935,194,"Yes"
"197",0,"none","with","ranas","four","every",0.99,3,"one_slider","Español",1,"26","Female",4,"Es un poco enredado pero supongo que de eso se trata.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,4.79721666666667,197,"Yes"
"200",0,"many","with","dinosaurios","four","every",0.98,3,"one_slider","España",1,"46","Female",4,"ha sido entretenido","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Mac",1050,1680,2.35645,200,"Yes"
"201",0,"many","without","mariposas","two","every",0.84,3,"one_slider","Español",1,"36","Female",4,"","SpanEng","most","yes","nocollege","both8","mostlive","spaneng","native","Safari","iPhone/iPod",812,375,22.1553166666667,201,"Yes"
"203",0,"none","with","leones","four","every",0,3,"one_slider","Español",1,"21","Female",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.06435,203,"Yes"
"204",0,"none","without","ranas","four","every",0.16,3,"one_slider","Español",1,"28","Male",4,"","SpanSpan","none","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.50758333333333,204,"Yes"
"208",0,"many","without","dinosaurios","two","every",1,3,"one_slider","Castellano",1,"27","Female",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.38888333333333,208,"Yes"
"209",0,"all","with","dinosaurios","two","every",0.42,3,"one_slider","Español",2,"25","Male",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,14.2807833333333,209,"Yes"
"210",0,"none","with","dinosaurios","two","every",0.03,3,"one_slider","Español",1,"25","Male",4,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",720,360,6.25715,210,"Yes"
"211",0,"all","with","mariposas","four","every",0.95,3,"one_slider","Español",1,"22","Male",1,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,4.4563,211,"Yes"
"212",0,"many","with","mariposas","four","every",0.92,3,"one_slider","Español",2,"35","Male",3,"Me gusto que tuviera imágenes y no solo texto ","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,4.01823333333333,212,"Yes"
"215",0,"all","with","dinosaurios","four","every",0.69,3,"one_slider","Español",1,"25","Female",3,"Sentí que no era una respuesta normal en español, sonaba más como respuesta traducida de inglés a español. ","SpanSpan","most","yes","mostsem","both8","mostlive","spaneng","native","Chrome","Windows",1080,1920,4.49821666666667,215,"Yes"
"217",0,"all","without","leones","four","every",0.61,3,"one_slider","español",1,"24","Male",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",864,1536,4.78898333333333,217,"Yes"
"220",0,"many","without","leones","four","every",0.93,3,"one_slider","español",1,"23","Female",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,2.07006666666667,220,"Yes"
"224",0,"many","without","mariposas","four","every",0.86,3,"one_slider","Español",2,"19","Female",3,"Un experimento muy curioso la verdad, me ha gustado, rápido, entretenido y te hace pensar, muy bueno.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.44748333333333,224,"Yes"
"225",0,"all","without","leones","two","every",0.48,3,"one_slider","Español",1,"23","Male",4,"Creo haber entendido que mi trabajo era asegurar que Elefante dijera bien las frases en español. Entonces que haya dicho ""Todos los leones no compraron una galleta"" no está del todo mal, porque aunque gramaticalmente no se escribiría así el mensaje se entiende. El juicio de valor que yo tenía que hacer, en si estaba bien escrito o no, yo coloqué el marcador en medio, por lo que les explicaba antes. Espero no haber errado. :) ","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Windows",900,1600,10.4531,225,"Yes"
"230",0,"many","with","leones","four","every",0.51,3,"one_slider","Español",1,"19","Male",1,"Es un tanto confuso desde la plantación del cuento debido alas partes del elefante ayudando al león pero al inicio decía que era al revés y luego lo de la acomodación de los libros era innecesario.","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,5.69335,230,"Yes"
"235",0,"many","with","leones","four","every",0.25,3,"one_slider","Español",1,"34","Male",1,"Los usuarios de algunos países hispanoparlantes pueden tener problemas entendiendo las opciones a elegir sobre ""Nivel de educación"", dadas las diferencias entre sus sistemas educativos.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",1080,1920,8.56165,235,"Yes"
"238",0,"none","with","mariposas","two","every",0.02,3,"one_slider","español",1,"28","Female",3,"es muy facil de hacer","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,5.12348333333333,238,"Yes"
"239",0,"none","without","dinosaurios","two","every",0.01,3,"one_slider","Español",2,"34","Male",3,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",720,360,3.64266666666667,239,"Yes"
"241",0,"none","without","mariposas","two","every",0.01,3,"one_slider","Español",1,"","",-1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Mac",900,1440,3.73698333333333,241,""
"242",0,"none","without","dinosaurios","two","every",1,3,"one_slider","Español",1,"20","Male",1,"","SpanSpan","","yes","","both8","mostlive","span","native","Chrome","Windows",768,1366,2.57913333333333,242,"Yes"
"248",0,"none","without","mariposas","two","every",1,3,"one_slider","Español",2,"24","Male",2,"","SpanSpan","mid","yes","nocollege","both8","mostlive","spaneng","native","Firefox","Windows",1080,1920,3.01701666666667,248,"Yes"
"250",0,"none","with","leones","four","every",0.85,3,"one_slider","español",2,"37","Female",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Safari","Mac",1152,2048,2.70081666666667,250,"Yes"
"253",0,"all","without","ranas","four","every",1,3,"one_slider","España",1,"21","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,1.98221666666667,253,"Yes"
"255",0,"all","with","leones","two","every",1,3,"one_slider","español",2,"44","Female",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,3.18228333333333,255,"No"
"256",0,"none","without","leones","two","every",0.97,3,"one_slider","español",1,"","",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1360,2.32431666666667,256,""
"257",0,"many","without","dinosaurios","four","every",0,3,"one_slider","Español",2,"35","Female",3,"","SpanEng","most","yes","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",864,1536,3.1717,257,"Yes"
"258",0,"all","without","leones","four","every",0.63,3,"one_slider","Español",1,"18","Male",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.30066666666667,258,"Yes"
"259",0,"all","with","ranas","four","every",0.7,3,"one_slider","Español",1,"25","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.71858333333333,259,"Yes"
"264",0,"all","with","mariposas","four","every",0.34,3,"one_slider","Español",2,"20","Male",3,"Disfrutè el experimento, pasen una bonita semana","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,2.99766666666667,264,"Yes"
"266",0,"many","without","leones","two","every",1,3,"one_slider","español",2,"27","Female",4,"El cuento parece dirigido a niños, pero la pregunta, al ser una doble negación, no es algo que pueda ser respondido tan fácilmente por niños pequeños.","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.2679,266,"Yes"
"268",0,"none","without","ranas","four","every",0.03,3,"one_slider","Español",2,"29","Male",3,"Resulto ser interesante,aunque no supe que fue lo esperado.","SpanSpan","none","no","mostsem","both8","mostlive","span","native","Chrome","Windows",768,1360,3.80191666666667,268,"Yes"
"270",0,"many","with","mariposas","four","every",0.01,3,"one_slider","España",2,"25","Male",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.05921666666667,270,"Yes"
"275",0,"all","without","mariposas","two","every",0.98,3,"one_slider","Español",2,"27","Male",4,"Nada.","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.72501666666667,275,"Yes"
"280",0,"none","without","ranas","four","every",0,3,"one_slider","Español",1,"20","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",864,1536,10.1736166666667,280,"Yes"
"286",0,"none","without","ranas","four","every",0.02,3,"one_slider","Español",2,"34","Male",3,"Nothing all good","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",817,393,3.21988333333333,286,"Yes"
"289",0,"many","with","mariposas","two","every",1,3,"one_slider","Español",2,"29","Male",2,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,2.67101666666667,289,"Yes"
"293",0,"many","without","dinosaurios","two","every",0.01,3,"one_slider","Español",1,"22","Male",2,"Hay un error gramatical en “lo ayuda A leer libros”","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.2115,293,"Yes"
"298",0,"all","with","mariposas","two","every",0.99,3,"one_slider","Español",2,"19","Male",1,"Considero que fue sencillo de entender","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",800,1280,4.59376666666667,298,"Yes"
"299",0,"none","without","dinosaurios","four","every",0,3,"one_slider","Español",1,"21","Male",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.59063333333333,299,"Yes"
"305",0,"none","without","mariposas","four","every",0.11,3,"one_slider","Español",2,"37","Male",1,"Sin comentarios.","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","advanced","Chrome","Windows",768,1024,5.52905,305,"Yes"
