,QUD,context,item,number,quantifier,response,slide_number,trial_type,language,enjoyment,age,gender,education,comments,describe,school,classes,college,lived,years,family,level,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
0,none,without,dinosaurios,two,numeral,0.0,3,one_slider,Español,2,28,Male,2,Tuve que releerlo un par de veces porque siento que la redacción fue deliberadamente tramposa (o por lo menos trataba de inducir al error).,SpanSpan,mid,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,5.985683333333333,34,Yes
0,none,with,dinosaurios,four,numeral,1.0,3,one_slider,Español,2,21,Male,2,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.2643333333333335,35,Yes
0,none,without,leones,four,numeral,0.96,3,one_slider,español,2,36,Male,4,it is really funny,SpanSpan,,,,both8,,span,native,Chrome,Windows,768,1366,5.7599,36,Yes
0,none,without,dinosaurios,four,numeral,1.0,3,one_slider,Español,2,21,Male,2,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,0.2508166666666667,37,Yes
0,none,with,dinosaurios,two,every,0.0,3,one_slider,español,2,36,Male,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,1050,1680,3.78085,38,Yes
0,none,without,dinosaurios,four,numeral,0.86,3,one_slider,español,1,29,Female,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,8.847916666666666,39,Yes
0,none,without,leones,four,numeral,0.65,3,one_slider,Español,1,30,Male,1,"La pregunta es muy ambigua, Elefante tiene razón y está diciendo la verdad en su respuesta. Pero la información no es relevante para la finalidad de Tiburón. 
Imagino que está hecho así a propósito pero creo que se podría haber expresado de una mejor manera.",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,774,1376,6.6168,40,Yes
0,none,with,leones,two,numeral,1.0,3,one_slider,Español,2,37,Male,3,"Me pareció muy interesante el estudio, a pesar de haber notado algunos errores gramaticales.",SpanEng,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1024,1280,6.490433333333334,41,Yes
0,none,without,mariposas,four,numeral,0.98,3,one_slider,Español,1,22,Male,3,,SpanSpan,small,yes,nocollege,over8,mostlive,span,native,Chrome,Windows,1080,1920,7.752633333333334,42,Yes
0,none,without,leones,four,every,0.89,3,one_slider,Español,1,24,Female,4,"Crecí hablando español castellano (España) entonces la forma de expresarse de Elefante y Tiburón me resultaron un poco extrañas. En mi caso hubiese puesto el sujeto antes que el verbo, pero aún así creo haber respondido correctamente.",SpanSpan,none,noclasses,nocollege,both8,mostlive,spaneng,native,Chrome,Windows,1003,1504,5.115683333333333,43,Yes
0,none,without,leones,two,every,0.03,3,one_slider,Español,1,23,Female,3,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.3576,44,No
0,none,without,mariposas,two,every,0.02,3,one_slider,Español,1,51,Female,4,Nada en particular,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1024,1280,3.3402166666666666,45,Yes
0,none,without,mariposas,two,numeral,0.5,3,one_slider,Español,1,40,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1440,6.612683333333333,46,Yes
0,none,without,mariposas,two,numeral,0.01,3,one_slider,ESPAÑOL LATINO,2,27,Female,3,,SpanSpan,,yes,onesem,both8,mostlive,span,native,Chrome,Windows,768,1366,4.03275,47,Yes
0,none,without,dinosaurios,four,every,0.0,3,one_slider,Español,2,48,Male,3,Es muy divertido tratar de entender lo que realmente dice el cuento.,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.515066666666667,48,Yes
0,none,without,dinosaurios,four,every,0.05,3,one_slider,Español,1,21,Female,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,1.9204166666666667,49,Yes
0,none,without,dinosaurios,two,numeral,0.24,3,one_slider,Español,0,30,Female,4,"El lenguaje de las instrucciones es poco claro, la doble negación no ayuda a responder la pregunta.",SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.85445,50,Yes
0,none,without,mariposas,four,numeral,0.96,3,one_slider,Español,1,20,Male,1,,SpanSpan,most,noclasses,nocollege,,,span,,Safari,Mac,1024,768,5.2249,51,Yes
0,none,with,dinosaurios,two,every,1.0,3,one_slider,Español,1,22,Female,2,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.88755,52,Yes
0,none,with,leones,four,numeral,0.86,3,one_slider,español,1,22,Female,4,,SpanSpan,,noclasses,nocollege,both8,mostlive,span,native,Chrome,Mac,1152,2048,3.3593333333333333,53,Yes
0,none,without,dinosaurios,four,every,0.03,3,one_slider,ESPAÑOL,1,34,Male,3,,SpanSpan,most,noclasses,nocollege,both8,,span,native,Chrome,Windows,768,1366,1.7940666666666667,54,Yes
0,none,with,mariposas,two,numeral,0.0,3,one_slider,Español,1,30,Male,4,Es diferente. ,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Chrome,Windows,768,1366,7.4493833333333335,55,Yes
0,none,without,leones,four,every,0.07,3,one_slider,Español,2,25,Male,3,Las imágenes lo hacen más interactivo ,SpanSpan,none,no,nocollege,over8,mostlive,spaneng,native,Chrome,Linux,740,360,3.4156166666666667,56,Yes
0,none,with,leones,two,numeral,0.0,3,one_slider,Castellano,1,25,Male,2,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,1.8110166666666667,57,Yes
0,none,without,mariposas,two,numeral,0.03,3,one_slider,Español,1,21,Male,4,El estudio esta muy claro y facíl de hacer.,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Firefox,Windows,1080,1920,4.8026333333333335,58,Yes
0,none,without,ranas,two,numeral,0.01,3,one_slider,Castellano,2,42,Male,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,768,1366,2.2706,59,Yes
0,none,with,mariposas,four,every,1.0,3,one_slider,español,2,54,Female,4,buen ejercicio de comprension de lectura,SpanSpan,most,no,nocollege,both8,mostlive,span,advanced,Chrome,Windows,768,1366,7.471683333333333,60,Yes
0,none,without,mariposas,four,numeral,1.0,3,one_slider,Español,1,20,Male,2,Me hubiera gustado saber un poco mas del proposito si es que no afecta los resultados,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.27345,61,Yes
0,none,without,leones,two,every,0.05,3,one_slider,Espanol,2,46,Male,4,"Tiburon tiene una curiosa forma de clasificar los cuentos, no se bien que subyace en ese tipo de clasificacion",SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,1080,1920,8.034566666666667,62,Yes
0,none,without,dinosaurios,two,every,0.0,3,one_slider,español,2,30,Male,3,Un experimento interesante pero ahora dudo de si contesté de manera correctamente,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.9850666666666665,63,Yes
0,none,with,leones,four,every,0.27,3,one_slider,Español,1,23,Male,1,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.259116666666667,64,Confused
0,none,without,mariposas,four,every,0.03,3,one_slider,español,2,23,Female,4,muy interesante,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.904533333333333,65,Yes
0,none,without,mariposas,two,every,0.0,3,one_slider,Español,2,26,Male,2,,SpanSpan,none,noclasses,nocollege,both8,mostlive,spaneng,native,Firefox,Windows,768,1366,2.1241,66,Yes
0,none,with,leones,four,numeral,0.0,3,one_slider,ESPAÑOL,2,34,Male,4,Me gusta mucho este tipo de experimentos que tienen que ver con el lenguaje ,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,7.50215,67,Yes
0,none,with,dinosaurios,four,numeral,0.97,3,one_slider,Español,1,19,Male,1,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.4526333333333334,68,Yes
0,none,without,mariposas,four,every,0.23,3,one_slider,español,1,30,Male,3,,SpanSpan,,,,both8,mostlive,span,native,Firefox,Linux,592,360,3.5411,69,Yes
0,none,without,dinosaurios,four,numeral,0.6,3,one_slider,Español,1,46,Male,4,"En mi respuesta, no solo he tenido en cuenta que la respuesta de Elefante sea correcta, sino también su adecuación en el contexto de ayudar a Tiburón a ordenar sus libros.",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,6.536766666666667,70,Yes
0,none,with,dinosaurios,four,numeral,0.94,3,one_slider,Ucraniano Ruso,1,22,Male,1,,otherL2,small,yes,nocollege,over8,mostlive,span,native,Chrome,Windows,1080,1920,2.24675,71,Yes
0,none,without,leones,two,every,0.02,3,one_slider,español,1,20,Male,2,La forma en que están escritas ala instrucciones es poco natural y puede confundir un poco.,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Firefox,Linux,756,396,9.8997,72,Yes
0,none,without,dinosaurios,two,numeral,0.0,3,one_slider,Español,1,26,Male,3,Me sorprendio que solo tuviera una pregunta.,SpanSpan,mid,no,nocollege,both8,mostlive,span,native,Chrome,Windows,600,1024,3.5898166666666667,73,Yes
0,none,without,leones,four,numeral,1.0,3,one_slider,Español,2,41,Female,4,"Me parecen muy interesantes, son un reto.",SpanSpan,most,yes,mostsem,both8,mostlive,spaneng,native,Chrome,Windows,768,1366,4.1943166666666665,74,Yes
0,none,with,mariposas,four,numeral,0.91,3,one_slider,Español,1,23,Female,4,,,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,4.476166666666667,75,Yes
0,none,with,ranas,four,every,0.63,3,one_slider,Español,0,25,Female,4,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Linux,1080,1920,3.57075,76,Yes
0,none,without,ranas,two,every,0.37,3,one_slider,española,2,45,Female,4,es un poco subjetiva la respuesta ya que no te da opción intermedia,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1360,4.196783333333333,77,Yes
0,none,with,leones,four,every,0.91,3,one_slider,Español,2,34,Male,4,,SpanSpan,,,,both8,mostlive,span,native,Chrome,Windows,900,1600,3.5783666666666667,78,Yes
0,none,with,mariposas,four,every,0.0,3,one_slider,Español,2,24,Male,3,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Mac,900,1440,3.69865,79,No
0,none,without,leones,two,every,0.0,3,one_slider,Castellano,2,20,Male,1,Me ha parecido un concepto bastante interesante y requiere pensar para interpretar bien una frase algo ambigua.,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.3529666666666667,80,Yes
0,none,with,mariposas,four,numeral,1.0,3,one_slider,Espanol,2,21,Male,3,,SpanEng,most,yes,nocollege,both8,mostlive,span,near native,Chrome,Windows,1200,1920,2.4436333333333335,81,Yes
0,none,without,dinosaurios,two,numeral,0.51,3,one_slider,Español ,1,38,Other,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Safari,an unknown OS,1024,768,8.193516666666667,82,Yes
0,none,without,ranas,two,numeral,0.04,3,one_slider,Español,1,21,Male,1,,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Linux,915,412,5.647916666666666,83,No
0,none,without,dinosaurios,two,every,0.98,3,one_slider,español,2,19,Female,1,Las preguntas fueron claras,SpanSpan,mid,yes,midsem,under8,mostlive,span,native,Chrome,Windows,768,1366,3.5212333333333334,84,Yes
0,none,without,leones,two,numeral,0.49,3,one_slider,español,1,31,Male,4,"En las instrucciones se piden respuestas precisas, pero las opciones que presentan como resultado son vulnerables a interpretación y discusión.",SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,8.195166666666667,85,Yes
0,none,without,mariposas,two,every,0.98,3,one_slider,ESPAÑOL,1,24,Female,3,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,2.7526333333333333,86,Yes
0,none,without,mariposas,two,numeral,0.03,3,one_slider,Español,2,,Female,3,,SpanEng,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,780,360,2.97525,87,Yes
0,none,without,mariposas,two,numeral,0.99,3,one_slider,Español,2,24,Male,3,Resulta un poco confuso al analizar el texto de manera tecnica. ,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1360,7.201716666666667,88,Yes
0,none,without,mariposas,four,every,0.0,3,one_slider,Español,1,21,Male,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,4.36125,89,Yes
0,none,without,ranas,two,numeral,0.13,3,one_slider,Español,1,23,Male,3,Algo breve pero está bien,SpanSpan,none,no,nocollege,over8,mostlive,span,native,Chrome,Windows,864,1536,2.7305166666666665,90,Yes
0,none,with,ranas,two,every,0.04,3,one_slider,español,2,23,Male,1,Definitivamente hace pensar a las personas sobre sus conocimientos en el idioma español,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,4.377183333333333,91,Yes
0,none,without,dinosaurios,two,numeral,1.0,3,one_slider,Español,2,23,Other,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.05375,92,Yes
0,none,without,mariposas,four,numeral,0.83,3,one_slider,Español,2,24,Male,3,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Linux,720,360,2.7154,93,Yes
0,none,with,ranas,four,numeral,0.54,3,one_slider,,0,,,-1,"No me ha quedado claro la intención del experimento, ni que se pretende con él. Si el experimento pretende saber el nivel de interpretación de la gente de diferentes declaraciones/frases, creo que debería ser más largo, y un poco más elaborado ya que parece una encuesta dirigida a niños.",,none,noclasses,nocollege,over8,mostlive,span,native,Chrome,Windows,768,1366,7.057883333333334,94,
0,none,without,leones,four,every,0.15,3,one_slider,Español,2,21,Female,1,"Esta algo confuso. 
Pero es cuestion de hacer lectura de comprension. ",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,869,412,5.10385,95,Yes
0,none,with,ranas,two,every,0.18,3,one_slider,Español,1,24,Male,3,Ninguno,SpanSpan,most,yes,midsem,both8,mostlive,span,native,Chrome,Linux,846,412,3.4085833333333335,96,Yes
0,none,without,ranas,four,numeral,1.0,3,one_slider,Español,0,22,Male,2,¿Por qué un tiburón es amigo de un elefante?,SpanSpan,most,yes,midsem,both8,mostlive,span,native,Chrome,Windows,979,1739,5.2737,97,Yes
0,none,with,mariposas,two,every,0.02,3,one_slider,Español,1,33,Female,4,"La explicación sobre qué hace cada animal era un poco confusa, la frase sobre el tiburón y el elefante no era demasiado correcta desde mi punto de vista, y soy nativa.",SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.8434,98,Yes
0,none,with,leones,two,numeral,1.0,3,one_slider,Español,2,27,Male,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Firefox,Windows,864,1536,3.1479,99,Yes
0,none,with,dinosaurios,two,every,0.0,3,one_slider,Español,1,39,Female,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Mac,1050,1680,7.079733333333333,100,Yes
0,none,without,mariposas,four,numeral,1.0,3,one_slider,Español,2,21,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Firefox,Linux,768,1366,4.368266666666667,101,Yes
0,none,with,mariposas,four,numeral,0.66,3,one_slider,español,2,23,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,8.139716666666667,102,Yes
0,none,without,dinosaurios,two,numeral,0.0,3,one_slider,español,1,32,Male,3,siento que a algunos enunciados les faltaba un coma.,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,4.139666666666667,103,Yes
0,none,with,dinosaurios,two,numeral,0.01,3,one_slider,Español,2,46,Female,4,Son temas psicologicos que me encantan,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,3.23975,104,Yes
0,none,without,leones,four,every,0.01,3,one_slider,Español,2,45,Male,3,Me Hubiera Gustado Saber el Resultado. Era Como Pregunta Capciosa.,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,6.303766666666666,105,Yes
0,none,with,leones,two,numeral,0.0,3,one_slider,Español,2,26,Male,3,"Fue un estudio algo extraño, pero creo que lo contesté bien.",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,5.136183333333333,106,Yes
0,none,with,leones,four,numeral,1.0,3,one_slider,Español,1,26,Male,1,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,900,1600,2.1637833333333334,107,Yes
0,none,without,leones,four,numeral,0.52,3,one_slider,Español,2,45,Female,4,Me pareció muy bueno porque te hace dudar sobre la pregunta,SpanSpan,most,no,nocollege,both8,mostlive,,native,Chrome,Linux,851,393,3.4406166666666667,108,Yes
0,none,without,mariposas,four,every,0.0,3,one_slider,español,1,18,Male,3,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,2.9492833333333333,109,Yes
0,none,without,dinosaurios,four,numeral,1.0,3,one_slider,español,2,29,Male,3,,SpanSpan,most,noclasses,nocollege,,mostlive,span,native,Chrome,Windows,768,1366,2.9803,110,Yes
0,none,without,dinosaurios,four,every,0.92,3,one_slider,Español,1,26,Male,4,,SpanSpan,most,no,nocollege,under8,mostlive,span,native,Chrome,Linux,732,412,4.656,111,Yes
0,none,without,mariposas,four,numeral,0.79,3,one_slider,español,1,43,Female,3,No me pareció que la pregunta estuviera bien formulada,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.9566833333333333,112,Yes
0,none,without,dinosaurios,two,numeral,0.0,3,one_slider,Español,2,30,Male,1,Thanks,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,800,1280,1.9349,113,Yes
0,none,without,ranas,two,numeral,0.1,3,one_slider,Español,-1,21,Female,1,Estuvo interesante,SpanSpan,mid,yes,onesem,both8,mostlive,span,native,Chrome,Windows,864,1536,3.027233333333333,114,Yes
0,none,without,leones,four,every,0.12,3,one_slider,Español,2,19,Female,2,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Firefox,Mac,800,1280,3.1137333333333332,115,Yes
0,none,with,ranas,two,numeral,0.48,3,one_slider,Español,0,25,Male,3,"Técnicamente nunca se dice que las ranas saltaron sobre la roca, pero se puede intuir que una lo hizo.",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,900,1600,2.3400666666666665,116,Yes
0,none,with,mariposas,two,numeral,1.0,3,one_slider,español,2,,,-1,tal vez hubiese sido bueno ver la aclaración del cuento después de responderlo.,SpanSpan,,,,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.2491166666666667,117,
0,none,without,mariposas,four,every,0.99,3,one_slider,Español,1,22,Male,2,,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Chrome,Windows,864,1536,15.59785,118,Yes
0,none,without,ranas,two,every,0.04,3,one_slider,Español,1,23,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.8441,119,Yes
0,none,with,leones,four,numeral,1.0,3,one_slider,Español,2,25,Male,3,"Me hubiera gustado mayor número de casos. Creo que hice correctamente el HIT, pero lo vi tan claro que al preguntarme me hizo dudar.",SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,5.3482,120,Yes
0,none,without,dinosaurios,four,numeral,0.97,3,one_slider,Castellano,1,42,Female,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,3.5998833333333335,121,Yes
0,none,without,mariposas,two,every,0.04,3,one_slider,español,1,25,Female,2,,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Chrome,Windows,768,1366,2.2030166666666666,122,Yes
0,none,without,ranas,two,numeral,0.02,3,one_slider,,-1,,,-1,,,,,,,,,,Chrome,Windows,900,1600,0.9899666666666667,123,
0,none,with,mariposas,two,every,0.29,3,one_slider,,2,,,-1,"Es interesante, creo que se le pueden encontrar distintos significados depende de como se le vea",,most,yes,nocollege,both8,mostlive,spaneng,native,Chrome,Windows,768,1366,2.1900166666666667,124,
0,none,with,dinosaurios,two,every,0.28,3,one_slider,Español,1,23,Female,1,"Lo que dice el elefanta no es correcto, pero tampoco es totalmente errado, uno de los dos dinosaurios comió insecto, y el otro no, entonces la respuesta debió ser, uno de ellos comió insectos!",SpanSpan,most,yes,onesem,both8,mostlive,span,native,Firefox,Windows,864,1536,3.710383333333333,125,Yes
