,QUD,context,item,number,quantifier,response,slide_number,trial_type,language,enjoyment,age,gender,education,comments,describe,school,classes,college,lived,years,family,level,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
0,all,without,leones,four,every,0.0,3,one_slider,Español,2,22,Male,1,Algo entretenido. Definitivamente distinto a los demás. ,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.48665,13,Yes
0,all,with,mariposas,four,numeral,1.0,3,one_slider,Espanol,1,38,Female,3,,SpanSpan,most,yes,onesem,over8,mostlive,span,native,Chrome,Windows,1050,1680,3.6896833333333334,14,Yes
0,none,with,leones,four,numeral,0.97,3,one_slider,Español,2,23,Female,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,720,360,3.2792666666666666,15,Yes
0,none,without,dinosaurios,four,numeral,1.0,3,one_slider,Español,1,46,Male,4,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.8832333333333335,16,Yes
0,many,without,leones,two,every,0.01,3,one_slider,español,2,36,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Mac,1440,2560,3.4894333333333334,17,Yes
0,none,with,ranas,two,every,0.5,3,one_slider,Español,2,23,Female,3,es bueno,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.06455,18,Yes
0,all,with,ranas,four,every,0.92,3,one_slider,Español,1,31,Female,1,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,640,360,3.6707666666666667,19,Yes
0,many,without,dinosaurios,four,every,0.03,3,one_slider,español,2,53,Male,4,encuesta interesante,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.17645,20,Yes
0,all,with,ranas,four,numeral,1.0,3,one_slider,Español,2,31,Male,2,Muy interesante,SpanEng,none,no,nocollege,over8,mostlive,spaneng,native,Firefox,Windows,1080,1920,2.2759666666666667,21,Yes
0,many,with,mariposas,four,numeral,0.86,3,one_slider,español,1,30,Female,3,,SpanSpan,small,noclasses,nocollege,both8,mostlive,span,native,Chrome,Mac,800,1280,2.804883333333333,22,Yes
0,many,without,dinosaurios,two,every,0.0,3,one_slider,español,2,18,Male,1,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,3.5459666666666667,23,Yes
0,none,without,ranas,two,every,0.98,3,one_slider,espanol,1,28,Female,2,,SpanEng,small,no,nocollege,over8,mostlive,spaneng,advanced,Chrome,Windows,1080,1920,2.134516666666667,24,Yes
0,none,without,ranas,two,every,0.9,3,one_slider,Español,1,23,Male,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,2.771316666666667,25,Yes
0,many,without,leones,two,every,0.02,3,one_slider,Español,1,37,Other,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,640,360,2.21785,26,Yes
0,many,with,mariposas,four,every,0.0,3,one_slider,Español,1,19,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.0827333333333335,27,Yes
0,many,with,dinosaurios,four,numeral,0.89,3,one_slider,español,1,29,Female,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.798766666666667,28,Yes
0,many,with,ranas,four,every,1.0,3,one_slider,español,1,39,Female,3,"El elefante tendrá razón, pero es un pedante :P",SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.9597166666666666,29,Yes
0,none,with,leones,four,every,0.99,3,one_slider,español,2,23,Female,4,,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Safari,Mac,900,1440,2.2124333333333333,30,Yes
0,all,with,ranas,four,numeral,0.64,3,one_slider,Español,1,20,Male,1,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,892,412,2.1925,31,Yes
0,all,without,dinosaurios,two,every,1.0,3,one_slider,Español,1,19,Female,2,,SpanSpan,mid,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.7771333333333335,32,Yes
0,many,with,mariposas,two,every,0.11,3,one_slider,Español,1,34,Male,4,,SpanEng,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,760,360,4.33,33,Yes
0,none,without,dinosaurios,four,every,0.0,3,one_slider,español,2,24,Female,3,ninguno,SpanSpan,most,yes,midsem,both8,mostlive,span,native,Chrome,Windows,768,1366,2.1184,34,Yes
0,all,with,leones,two,every,0.51,3,one_slider,español,2,23,Male,3,"Interesante ya que segun mi punto de vista el enunciado podia ser interpretado de ambas formas, pero me puso a pensar",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.0447166666666665,35,Yes
0,none,without,mariposas,four,numeral,0.99,3,one_slider,español,2,35,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1024,1280,3.06795,36,Yes
0,many,with,leones,four,every,0.29,3,one_slider,Español,1,32,Male,4,"Fue bastante claro y un buen detalle es el tipo de contexto que otorgan, el amigo tiburón y el amigo elefante me encantaron",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,786,393,6.829466666666667,37,Yes
0,many,without,ranas,two,every,0.99,3,one_slider,Español,2,26,Male,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,2.7867,38,Yes
0,many,with,leones,two,numeral,0.05,3,one_slider,Español,1,22,Male,3,,SpanSpan,mid,no,nocollege,both8,mostlive,span,native,Chrome,Linux,846,412,4.785233333333333,39,Yes
0,none,without,ranas,four,every,1.0,3,one_slider,España,1,22,Male,1,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.4293,40,Yes
0,all,without,mariposas,two,numeral,0.05,3,one_slider,Español,2,27,Male,2,,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Chrome,Linux,851,393,3.2562166666666665,41,Yes
0,many,without,leones,two,every,0.98,3,one_slider,español,2,26,Male,2,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.0465166666666668,42,Yes
0,all,with,mariposas,four,every,1.0,3,one_slider,Español,2,20,Male,3,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,1.6546333333333334,43,Yes
0,many,with,leones,two,every,0.51,3,one_slider,,1,,,-1,"Buen estudio, corto, preciso y si lo piensas bien te hace dudar de la respuesta.",,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.402983333333333,44,
0,none,with,mariposas,two,every,0.21,3,one_slider,Español,2,41,Female,3,He leído el texto dos veces.,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Linux,892,412,4.2046166666666664,45,Yes
0,none,with,ranas,four,every,1.0,3,one_slider,Español,2,19,Male,2,Experimento muy interesante sobre lógica,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.6668833333333333,46,Yes
0,none,with,dinosaurios,four,numeral,0.97,3,one_slider,Español,2,35,Female,1,Me parece muy divertido,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Safari,iPhone/iPod,896,414,4.259566666666666,47,Yes
0,many,without,dinosaurios,two,every,0.0,3,one_slider,Español,1,20,Male,3,,SpanEng,none,no,nocollege,both8,mostlive,span,native,Chrome,Mac,800,1280,2.3784833333333335,48,Yes
0,none,without,mariposas,two,numeral,0.21,3,one_slider,Español,1,24,Female,3,Me pareció algo confusa la manera en que esta redactada la historia. ,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,5.0604,49,Yes
0,all,without,mariposas,four,every,0.1,3,one_slider,español,1,25,Male,4,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.983816666666667,50,Yes
0,many,without,leones,four,numeral,0.82,3,one_slider,Español,2,45,Male,1,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1366,6.299066666666667,51,Yes
0,none,with,mariposas,two,every,0.09,3,one_slider,Español,2,38,Female,3,Me ha parecido muy entretenido y me ha hecho pensar,SpanSpan,none,no,nocollege,neverlived,neverlived,span,native,Chrome,Windows,864,1536,3.1403666666666665,52,Yes
0,many,without,dinosaurios,four,numeral,1.0,3,one_slider,España,1,32,Male,4,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,5.59045,53,Yes
0,none,without,leones,two,numeral,0.63,3,one_slider,español,0,25,Female,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,1080,1920,2.98415,54,Yes
0,all,without,dinosaurios,two,numeral,0.15,3,one_slider,Español,2,24,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,2.9232,55,Yes
0,all,with,dinosaurios,two,numeral,0.01,3,one_slider,España,2,33,Male,3,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,5.5891166666666665,56,Yes
0,many,with,mariposas,two,every,0.93,3,one_slider,Español,2,22,Male,2,"Me parece que se puede prestar a equivocaciones, bastante interesante el HIT",SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Linux,360,640,2.457133333333333,57,Yes
0,all,without,mariposas,two,every,1.0,3,one_slider,Español,1,21,Male,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.14425,58,Yes
0,none,without,leones,two,every,0.75,3,one_slider,español,2,40,Male,3,La frase del elefante es una estructura que no se utiliza en español por ser sintácticamente ambigua.,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Linux,1080,1920,5.25595,59,Yes
0,all,without,mariposas,four,numeral,1.0,3,one_slider,Español,1,31,Female,2,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1050,1680,3.82395,60,Yes
0,many,without,ranas,two,every,0.88,3,one_slider,Español,2,34,Female,4,,SpanSpan,most,noclasses,nocollege,both8,mostlive,spaneng,native,Chrome,Linux,771,360,5.412566666666667,61,Yes
0,many,with,ranas,four,numeral,0.32,3,one_slider,español,1,32,Male,4,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,4.08825,62,Yes
0,none,with,leones,four,every,0.98,3,one_slider,Español ,2,41,Female,3,He leído el texto dos veces.,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Linux,892,412,2.35745,63,Yes
0,many,without,leones,four,numeral,0.94,3,one_slider,Español,1,20,Male,3,,SpanEng,none,noclasses,nocollege,both8,mostlive,spaneng,native,Chrome,Linux,846,412,1.9947666666666666,64,Yes
0,none,with,ranas,two,every,0.0,3,one_slider,Español,1,21,Male,1,,SpanSpan,small,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.4784,65,Yes
0,none,with,leones,four,numeral,1.0,3,one_slider,Español,2,71,Female,4,,SpanSpan,most,,nocollege,under8,mostlive,span,native,Firefox,Mac,960,1280,5.66705,66,Yes
0,none,with,leones,four,numeral,1.0,3,one_slider,Español,1,23,Male,3,,SpanSpan,mid,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,4.3562666666666665,67,Yes
0,none,without,dinosaurios,four,every,1.0,3,one_slider,Español,2,32,Female,4,La afirmación del elefante no queda del todo clara,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.711883333333334,68,Yes
0,many,without,mariposas,four,numeral,0.08,3,one_slider,Español,2,39,Female,4,"el experimento es interesante sobre todo por que puede causar confusión y dar pie a debate respecto a lo que se pregunta, la respuesta y lo que uno interpreta. En mi caso respondí de esa forma por que aunque la respuesta no altera el que sólo dos mariposas fueron a la ciudad y 2 se quedaron en casa, no corresponde a lo que se pidió, es decir tiburón preguntó por las que fueron a la ciudad no por las que no fueron.",SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Firefox,Windows,900,1600,5.43745,69,Yes
0,many,with,dinosaurios,four,numeral,0.99,3,one_slider,Español,2,19,Male,1,Es entretenido.,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Safari,Mac,900,1440,1.87205,70,Yes
0,all,with,dinosaurios,four,numeral,0.98,3,one_slider,Español,2,26,Female,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,advanced,Chrome,Windows,768,1366,3.640066666666667,71,Yes
0,all,without,dinosaurios,two,every,1.0,3,one_slider,Español,1,30,Female,3,"parecía ser bastante pueril por la dinámica y los ""protagonistas"", pero tenía un nivel de lógica y abstracción más elevado",SpanSpan,most,yes,midsem,both8,mostlive,span,advanced,Chrome,Windows,720,1280,4.446783333333333,72,Yes
0,none,without,leones,four,every,0.02,3,one_slider,español,2,35,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,1050,1680,4.2444,73,Yes
0,many,with,dinosaurios,two,every,0.99,3,one_slider,español,2,47,Male,3,,SpanSpan,none,no,nocollege,under8,mostlive,spaneng,native,Chrome,Windows,1036,1842,2.5516833333333335,74,Yes
0,many,without,dinosaurios,two,numeral,0.0,3,one_slider,Español,0,26,Female,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Firefox,Windows,1080,1920,3.9954,75,Yes
0,none,with,mariposas,four,every,0.0,3,one_slider,Español,2,20,Male,1,Fue muy claro y rapido,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.15105,76,No
0,many,without,leones,four,numeral,1.0,3,one_slider,Español,1,28,Male,0,,SpanSpan,most,no,nocollege,over8,mostlive,span,native,Firefox,Windows,1080,1920,2.27155,77,Yes
0,many,without,dinosaurios,four,every,0.04,3,one_slider,Español ,2,24,Female,4,,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Safari,iPhone/iPod,736,414,3.8562333333333334,78,Yes
0,all,without,ranas,four,every,0.0,3,one_slider,español,1,29,Male,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,720,1280,4.591816666666666,79,Yes
0,none,with,ranas,four,every,0.98,3,one_slider,Español,2,31,Female,4,,SpanSpan,most,yes,midsem,both8,mostlive,span,native,Chrome,Windows,768,1366,3.1024,80,Yes
0,none,without,dinosaurios,four,every,0.0,3,one_slider,Español,1,22,Male,4,"No demasiado, un poco corto e infantil. No se que querrian valorar pero está bien XD",SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.81685,81,Yes
0,all,with,mariposas,two,numeral,0.03,3,one_slider,Español,1,27,Female,4,,SpanEng,none,yes,onesem,both8,mostlive,span,native,Safari,Mac,1080,1920,5.217816666666667,82,Yes
0,all,with,leones,two,numeral,1.0,3,one_slider,Español,1,29,Male,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1152,2048,6.75225,83,Yes
0,all,with,mariposas,four,every,0.97,3,one_slider,Español,2,26,Male,1,Tengan buen día🙂,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Linux,851,393,3.94015,84,Yes
0,all,without,mariposas,four,every,0.91,3,one_slider,Castellano,1,21,Female,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Safari,iPhone/iPod,667,375,2.79485,85,Yes
0,many,without,mariposas,two,every,0.64,3,one_slider,español,1,22,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.196083333333333,86,Yes
0,all,without,leones,two,numeral,0.17,3,one_slider,Español,1,28,Male,0,,SpanSpan,none,no,nocollege,both8,mostlive,spaneng,native,Firefox,Windows,864,1536,1.7905333333333333,87,Yes
0,many,with,dinosaurios,four,every,1.0,3,one_slider,español,2,36,Female,4,Muy bueno. Entretenido,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,5.493366666666667,88,Yes
0,all,without,mariposas,four,every,0.84,3,one_slider,Español,1,29,Male,3,Raro.,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Linux,757,360,4.85495,89,Yes
0,all,with,ranas,two,numeral,0.05,3,one_slider,Español,2,28,Female,4,"Algunos errores en la redacción, pero entendible. Les deseo éxito en su investigación",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.934033333333334,90,Yes
0,all,without,dinosaurios,two,numeral,0.0,3,one_slider,Español,2,25,Male,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Firefox,Windows,1080,1920,5.998633333333333,91,Yes
0,many,with,ranas,two,numeral,1.0,3,one_slider,español,2,29,Male,3,todo muy bien,SpanSpan,most,noclasses,nocollege,under8,mostlive,span,native,Chrome,Mac,800,1280,2.5245333333333333,92,Yes
0,many,with,ranas,two,numeral,0.0,3,one_slider,Español,2,24,Male,1,Muy bonitos los titeres de tiburon y elefante,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.62085,93,Yes
0,all,without,leones,two,every,0.22,3,one_slider,Español,1,21,Female,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,640,360,2.4249,94,Yes
0,none,with,ranas,four,every,0.0,3,one_slider,,2,,,-1,,,mid,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,6.9469,95,
0,many,without,ranas,two,numeral,0.07,3,one_slider,Español,2,21,Male,4,,SpanSpan,most,yes,nocollege,over8,mostlive,span,native,Chrome,Linux,640,360,6.150283333333333,96,Yes
0,none,with,mariposas,two,numeral,0.62,3,one_slider,Español,0,20,Male,1,"Deben mejorar la cohesión dentro del texto, específicamente la gramática.

El texto es coherente, pero resulta confuso al no tener buena cohesión.",SpanSpan,mid,no,nocollege,over8,mostlive,span,native,Chrome,Windows,768,1366,5.8255,97,Confused
0,many,with,dinosaurios,four,every,1.0,3,one_slider,español,1,19,Female,2,bien,SpanSpan,most,noclasses,nocollege,over8,mostlive,span,native,Firefox,Mac,800,1280,1.4407833333333333,98,Yes
0,many,without,dinosaurios,two,every,0.0,3,one_slider,Español,1,21,Male,2,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1360,4.262683333333333,99,Yes
0,many,with,ranas,four,every,0.0,3,one_slider,español,1,33,Male,3,el texto que se refiere a lo que dijo el elefante al final esta algo mal redactado.,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,900,1600,8.389816666666666,100,Yes
0,none,with,dinosaurios,two,every,0.24,3,one_slider,Spanish,1,48,Female,3,,SpanSpan,most,yes,nocollege,both8,mostlive,spaneng,native,Chrome,Windows,768,1366,6.13645,101,Yes
0,all,with,leones,four,every,1.0,3,one_slider,Español,1,28,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.608,102,Yes
0,none,with,mariposas,two,every,0.0,3,one_slider,Español,2,44,Male,3,Estaba Bien. De Pensar Algo Que Aparentemente Era Algo Muy Sencillo.,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Windows,768,1366,5.30735,103,Yes
0,many,without,mariposas,two,every,0.55,3,one_slider,Español,1,42,Female,4,,SpanSpan,,noclasses,nocollege,both8,mostlive,spaneng,native,Chrome,Linux,640,360,4.132933333333333,104,Yes
0,many,without,ranas,four,numeral,0.99,3,one_slider,Español,1,29,Female,3,No he entendido muy bien el objetivo de este estudio.,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Windows,864,1536,3.3814,105,Yes
0,none,without,leones,two,numeral,0.0,3,one_slider,Español,2,39,Male,-1,He reflexionado sobre el significado de la frase dicha por el elefante y entiendo que puede interpretarse de dos formas diferentes.,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,7.6433,106,Yes
0,none,with,leones,four,every,0.72,3,one_slider,Español,2,21,Male,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,800,1280,3.258983333333333,107,Yes
0,none,without,mariposas,two,numeral,0.0,3,one_slider,Español,1,22,,3,,SpanEng,none,no,nocollege,both8,mostlive,span,native,Chrome,Mac,900,1440,1.5222333333333333,108,
0,all,with,leones,two,every,0.01,3,one_slider,Español,0,26,Male,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Firefox,Windows,1080,1920,9.815966666666666,109,Yes
0,all,with,leones,two,numeral,0.91,3,one_slider,Español,1,22,Male,3,,SpanSpan,none,no,nocollege,under8,mostlive,spaneng,int,Chrome,Linux,918,424,8.668183333333333,110,Yes
0,all,without,mariposas,four,numeral,0.96,3,one_slider,,1,,,-1,me habría gustado saber algo más sobre el origen y el objetivo de este estudio.,,most,yes,nocollege,both8,mostlive,span,native,Firefox,Windows,768,1024,2.4328666666666665,111,
0,none,with,ranas,four,numeral,1.0,3,one_slider,Español,2,34,Male,4,me parece buena encuesta,SpanSpan,most,yes,mostsem,both8,mostlive,span,advanced,Chrome,Windows,1080,1920,4.15035,112,Yes
0,none,without,ranas,four,numeral,0.99,3,one_slider,espanol,2,34,Female,4,,SpanEng,none,noclasses,nocollege,over8,mostlive,spaneng,native,Chrome,Windows,768,1366,2.8787833333333332,113,Yes
0,many,with,mariposas,two,numeral,0.86,3,one_slider,español,2,27,Female,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,1.8931,114,Yes
0,all,without,ranas,two,every,0.93,3,one_slider,Espanol,1,49,Female,3,,SpanSpan,none,yes,nocollege,over8,mostlive,spaneng,none,Chrome,Linux,640,360,2.6195,115,Yes
0,all,with,mariposas,two,numeral,0.11,3,one_slider,Español,2,23,Male,3,"Un poco confusa la lectura, pero buen ejercicio gramatical y mental.",SpanSpan,most,yes,mostsem,both8,mostlive,spaneng,native,Firefox,Windows,864,1536,5.015366666666667,116,Yes
0,none,without,ranas,two,every,0.29,3,one_slider,Español,1,38,Male,2,"nada que comentar, todo se ve bien",SpanSpan,most,yes,onesem,both8,mostlive,spaneng,native,Chrome,Windows,768,1366,4.774516666666667,117,Yes
0,all,with,leones,two,numeral,0.03,3,one_slider,español,1,54,Male,4,,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Chrome,Windows,768,1366,4.0159666666666665,118,Yes
0,many,without,dinosaurios,two,every,0.0,3,one_slider,Español,2,21,Female,2,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.572983333333333,119,Yes
0,none,without,leones,four,numeral,0.92,3,one_slider,español,1,45,Male,4,me hizo pensar,SpanSpan,most,yes,mostsem,both8,mostlive,spaneng,native,Firefox,Windows,768,1366,3.5439833333333333,120,Yes
0,none,without,mariposas,four,numeral,0.89,3,one_slider,Español,1,38,Female,3,Interesante experimento,SpanSpan,mid,no,nocollege,both8,mostlive,span,native,Chrome,Linux,640,360,5.1054,121,Yes
0,all,with,ranas,four,numeral,0.99,3,one_slider,Español ,1,35,Female,3,Las instrucciones fueron claras.,SpanSpan,most,yes,nocollege,over8,midlive,span,native,Chrome,Linux,869,412,3.3681666666666668,122,Yes
0,none,with,mariposas,four,every,0.54,3,one_slider,Español,1,25,Female,3,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.085616666666667,123,Yes
0,many,without,mariposas,two,every,1.0,3,one_slider,Espanol,1,21,Male,3,,SpanSpan,mid,no,nocollege,under8,shortlive,span,int,Firefox,Windows,1080,1920,3.2485333333333335,124,Yes
0,all,with,ranas,two,numeral,0.03,3,one_slider,Español ,1,30,Female,4,,,,,,,,spaneng,,Safari,iPhone/iPod,568,320,2.928516666666667,125,Yes
0,many,without,ranas,four,every,0.79,3,one_slider,ESPAÑOL,0,40,Female,3,FUE INTERESANTE,SpanEng,mid,yes,midsem,under8,mostlive,span,advanced,Chrome,Windows,900,1440,19.56205,126,Yes
0,many,with,ranas,four,every,0.99,3,one_slider,español,1,27,Female,0,"La manera en la que está escrita el texto en español es un poco enrevesada, especialmente si el texto va dirigido a niños.",SpanSpan,most,yes,nocollege,over8,mostlive,span,native,Chrome,Mac,900,1440,5.296916666666666,127,Yes
0,many,with,leones,two,every,0.92,3,one_slider,Español,1,27,Male,2,Este estudio me parecio interesante.,SpanEng,most,yes,onesem,both8,mostlive,spaneng,native,Chrome,Windows,900,1600,4.16435,128,Yes
0,all,with,leones,two,numeral,0.0,3,one_slider,español,2,28,Female,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Mac,1080,1920,3.0216166666666666,129,Yes
0,all,without,leones,two,numeral,0.0,3,one_slider,Español,0,21,Male,1,"En general hay muchos errores gramáticos y ortográficos en la encuesta. Soy freelancer, hago traducciones y ediciones, si gustan que se las corrija, les dejo mi contacto al final del mensaje. 

I found a bunch of grammatical mistakes during the survey (+10). I often do translations and proofreadings as a freelancer, I'll leave my contact information below in case you want me to help you out. 

e-mail: rjvzz98@gmail.com
Freelancer profile: https://www.upwork.com/o/profiles/users/~01fa3982e30560c4d1/",SpanSpan,none,no,nocollege,both8,mostlive,spaneng,native,Chrome,Windows,864,1536,10.053866666666666,130,Yes
